gvkey,datadate,fyear,indfmt,datafmt,tic,conm,curcd,at,ceq,dlc,dltt,ebitda,fincf,ivncf,oancf
001075,20081231,2008,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,11620.0930,3445.9790,848.1150,3031.6030,920.9040,50.5150,-815.1590,813.5680
001075,20091231,2009,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,11808.1550,3316.1090,431.4080,3370.5240,984.5570,-286.0150,-704.9170,1031.0650
001075,20101231,2010,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12362.7030,3683.3270,648.4790,3045.7940,1138.4390,-209.7470,-575.9000,750.4570
001075,20111231,2011,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,13111.0180,3821.8500,477.4350,3019.0540,1173.5620,-420.1810,-782.0070,1125.5830
001075,20121231,2012,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,13379.6150,3972.8060,215.0030,3199.0880,1256.0910,-305.5090,-872.9940,1171.1220
001075,20131231,2013,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,13508.6860,4194.4700,693.5490,2796.4650,1262.0310,-160.5820,-1009.4010,1153.3070
001075,20141231,2014,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,14313.5320,4367.4930,530.9700,3031.2150,1228.6000,-178.8810,-922.6680,1099.6270
001075,20151231,2015,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,15028.2580,4583.9170,357.5800,3462.3910,1349.0240,3.7900,-1066.2330,1094.3270
001075,20161231,2016,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,16004.2530,4803.6220,302.2000,4021.7850,1341.8130,198.0810,-1252.0780,1023.3900
001075,20171231,2017,INDL,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,17019.0820,5006.6900,177.4000,4789.7130,1468.5450,315.5120,-1428.5370,1118.0360
001078,19981231,1998,INDL,STD,ABT,ABBOTT LABORATORIES,USD,13216.2130,5713.6610,1759.0760,1339.6940,3902.1660,-1233.6860,-1420.8660,2732.9010
001078,19991231,1999,INDL,STD,ABT,ABBOTT LABORATORIES,USD,14471.0440,7427.5950,896.2710,1336.7890,4161.5810,-1426.8260,-1198.2490,2937.5210
001078,20001231,2000,INDL,STD,ABT,ABBOTT LABORATORIES,USD,15283.2540,8570.9060,479.4540,1076.3680,4089.4990,-2147.9490,-617.6640,3099.6180
001078,20011231,2001,INDL,STD,ABT,ABBOTT LABORATORIES,USD,23296.4230,9059.4320,2953.3350,4335.4930,4705.9500,4623.8160,-8384.8740,3566.8480
001078,20021231,2002,INDL,STD,ABT,ABBOTT LABORATORIES,USD,24259.1020,10664.5530,2148.6540,4273.9730,5118.1860,-2309.9740,-1881.6200,4182.9440
001078,20031231,2003,INDL,STD,ABT,ABBOTT LABORATORIES,USD,26715.3420,13072.2580,2537.3570,3452.3290,5438.7630,-2006.2120,-1630.6050,3746.4480
001078,20041231,2004,INDL,STD,ABT,ABBOTT LABORATORIES,USD,28767.4940,14325.7830,1992.6830,4787.9340,5744.0260,-1138.3200,-3923.3900,5107.9430
001078,20051231,2005,INDL,STD,ABT,ABBOTT LABORATORIES,USD,29141.2030,14415.2710,2062.0100,4571.5040,6194.3380,-2592.3160,-720.0870,5174.4160
001078,20061231,2006,INDL,STD,ABT,ABBOTT LABORATORIES,USD,36178.1720,14054.1860,5401.2610,7009.6640,6418.9690,3621.9270,-11397.6290,5329.2410
001078,20071231,2007,INDL,STD,ABT,ABBOTT LABORATORIES,USD,39713.9240,17778.5400,2725.9150,9487.7890,7378.4310,-2312.6320,-1136.2770,5183.8430
001078,20081231,2008,INDL,STD,ABT,ABBOTT LABORATORIES,USD,42419.2040,17479.5510,3647.9570,8713.3270,8315.9240,-3485.9020,-2087.4910,7344.1910
001078,20091231,2009,INDL,STD,ABT,ABBOTT LABORATORIES,USD,52416.6230,22855.6270,5225.7250,11266.2940,8993.2510,1002.0190,-3698.7100,7275.1600
001078,20101231,2010,INDL,STD,ABT,ABBOTT LABORATORIES,USD,59462.2660,22388.1350,6394.7660,12523.5170,10663.0860,-1087.7410,-12188.3150,8735.9810
001078,20111231,2011,INDL,STD,ABT,ABBOTT LABORATORIES,USD,60276.8930,24439.8330,3374.7550,12039.8220,12040.3420,-6023.4550,260.8320,8970.0770
001078,20121231,2012,INDL,STD,ABT,ABBOTT LABORATORIES,USD,67234.9440,26720.9610,2390.6620,18085.3020,12566.7220,716.0930,-6081.2880,9314.4010
001078,20131231,2013,INDL,STD,ABT,ABBOTT LABORATORIES,USD,42953.0000,25171.0000,3173.0000,3388.0000,4393.0000,-6696.0000,-3929.0000,3324.0000
001078,20141231,2014,INDL,STD,ABT,ABBOTT LABORATORIES,USD,41275.0000,21526.0000,4437.0000,3408.0000,4475.0000,-2742.0000,-202.0000,3675.0000
001078,20151231,2015,INDL,STD,ABT,ABBOTT LABORATORIES,USD,41247.0000,21211.0000,3130.0000,5871.0000,4844.0000,-2236.0000,406.0000,2966.0000
001078,20161231,2016,INDL,STD,ABT,ABBOTT LABORATORIES,USD,52666.0000,20538.0000,1325.0000,20681.0000,4975.0000,11147.0000,-248.0000,3203.0000
001078,20171231,2017,INDL,STD,ABT,ABBOTT LABORATORIES,USD,76250.0000,30897.0000,714.0000,27210.0000,6964.0000,-5281.0000,-9618.0000,5570.0000
001161,19981231,1998,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,4252.9680,2005.0490,151.5810,1372.4160,303.8790,974.9510,-998.1140,144.4130
001161,19991231,1999,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,4377.6980,1979.2730,47.6260,1427.2820,232.8340,-173.5430,-142.3740,259.9200
001161,20001231,2000,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,5767.7350,3171.6670,129.5700,1167.9730,1467.8060,-100.8510,-815.8020,1205.5520
001161,20011231,2001,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,5647.2420,3555.0550,331.6980,672.9450,660.8150,231.7120,-553.5210,167.6450
001161,20021231,2002,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,5619.1810,2467.2650,161.6890,1779.8370,-96.6420,907.4400,-854.3890,-88.9100
001161,20031231,2003,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,7094.3450,2438.3100,193.2660,1899.6740,748.3860,267.4020,83.1830,295.5860
001161,20041231,2004,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,7844.2100,3010.0530,230.8280,1628.2680,1451.5170,412.8000,-1555.7840,1086.5210
001161,20051231,2005,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,7287.7790,3351.8370,43.2240,1327.0650,1466.9990,494.1890,-2269.5820,1482.8550
001161,20061231,2006,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,13147.0000,5785.0000,125.0000,3672.0000,1238.0000,3763.0000,-4303.0000,1287.0000
001161,20071231,2007,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,11550.0000,2990.0000,238.0000,5031.0000,94.0000,2037.0000,-1675.0000,-310.0000
001161,20081231,2008,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,7675.0000,-82.0000,372.0000,4702.0000,255.0000,220.0000,-27.0000,-692.0000
001161,20091231,2009,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,9078.0000,648.0000,479.0000,4252.0000,615.0000,1524.0000,-1273.0000,473.0000
001161,20101231,2010,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,4964.0000,1013.0000,233.0000,2188.0000,809.0000,484.0000,-1123.0000,-412.0000
001161,20111231,2011,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,4954.0000,1590.0000,489.0000,1527.0000,741.0000,-6.0000,-113.0000,382.0000
001161,20121231,2012,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,4000.0000,538.0000,5.0000,2037.0000,224.0000,37.0000,-19.0000,-338.0000
001161,20131231,2013,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,4337.0000,544.0000,60.0000,1998.0000,242.0000,13.0000,455.0000,-148.0000
001161,20141231,2014,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,3767.0000,187.0000,177.0000,2035.0000,278.0000,46.0000,-12.0000,-98.0000
001161,20151231,2015,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,3109.0000,-412.0000,230.0000,2032.0000,-222.0000,59.0000,147.0000,-226.0000
001161,20161231,2016,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,3321.0000,416.0000,0.0000,1435.0000,-59.0000,122.0000,267.0000,90.0000
001161,20171231,2017,INDL,STD,AMD,ADVANCED MICRO DEVICES,USD,3540.0000,611.0000,70.0000,1325.0000,229.0000,-33.0000,-114.0000,68.0000
001177,19981231,1998,INDL,STD,AET,AETNA INC,USD,105129.9000,10526.8000,1371.1000,2488.5000,,-635.7000,-130.2000,808.6000
001177,19991231,1999,INDL,STD,AET,AETNA INC,USD,112839.0000,10690.4000,1890.7000,2674.9000,,-1217.4000,-159.8000,1669.1000
001177,20001231,2000,INDL,STD,AET,AETNA INC,USD,47445.7000,10127.1000,1592.2000,0.0000,,-1503.6000,1007.6000,811.1000
001177,20011231,2001,INDL,STD,AET,AETNA INC,USD,43255.1000,9890.3000,109.7000,1591.3000,534.0000,-544.2000,323.9000,-34.0000
001177,20021231,2002,INDL,STD,AET,AETNA INC,USD,40047.5000,6980.0000,0.0000,1633.2000,1126.8000,-512.4000,610.7000,306.4000
001177,20031231,2003,INDL,STD,AET,AETNA INC,USD,40950.2000,7924.0000,0.0000,1613.7000,1859.5000,-575.7000,-164.4000,370.6000
001177,20041231,2004,INDL,STD,AET,AETNA INC,USD,42133.7000,9081.4000,0.0000,1609.7000,2230.8000,-1541.6000,67.4000,1436.8000
001177,20051231,2005,INDL,STD,AET,AETNA INC,USD,44364.6000,10104.9000,450.0000,1155.7000,2807.9000,-1386.7000,-710.1000,1893.4000
001177,20061231,2006,INDL,STD,AET,AETNA INC,USD,47626.4000,9145.1000,45.0000,2442.3000,2983.0000,-1447.6000,-553.3000,1688.3000
001177,20071231,2007,INDL,STD,AET,AETNA INC,USD,50724.7000,10038.4000,130.7000,3138.5000,3234.2000,-653.7000,-1037.8000,2065.5000
001177,20081231,2008,INDL,STD,AET,AETNA INC,USD,35852.5000,8186.4000,215.7000,3638.3000,2862.0000,-1208.1000,-1073.3000,2206.9000
001177,20091231,2009,INDL,STD,AET,AETNA INC,USD,38550.4000,9503.8000,480.8000,3639.5000,2585.9000,-464.5000,-1999.7000,2488.3000
001177,20101231,2010,INDL,STD,AET,AETNA INC,USD,37739.4000,9890.8000,899.9000,3482.6000,3300.5000,-1382.6000,634.5000,1412.1000
001177,20111231,2011,INDL,STD,AET,AETNA INC,USD,38593.1000,10120.2000,425.9000,3977.7000,3908.9000,-1815.5000,-1880.2000,2507.8000
001177,20121231,2012,INDL,STD,AET,AETNA INC,USD,41494.5000,10405.8000,0.0000,6481.3000,3484.2000,308.8000,-231.3000,1822.0000
001177,20131231,2013,INDL,STD,AET,AETNA INC,USD,49871.8000,14025.5000,387.3000,7865.3000,4075.0000,-1525.8000,-1919.8000,2278.7000
001177,20141231,2014,INDL,STD,AET,AETNA INC,USD,53402.1000,14482.6000,729.3000,7852.0000,4848.7000,-1235.0000,-2129.7000,3372.8000
001177,20151231,2015,INDL,STD,AET,AETNA INC,USD,53424.1000,16114.3000,0.0000,7828.0000,5434.2000,-1734.7000,-1027.5000,3866.1000
001177,20161231,2016,INDL,STD,AET,AETNA INC,USD,69146.0000,17881.0000,1634.0000,19027.0000,5601.0000,12134.0000,-381.0000,3719.0000
001177,20171231,2017,INDL,STD,AET,AETNA INC,USD,55151.0000,15580.0000,999.0000,8160.0000,5428.0000,-16186.0000,2730.0000,-464.0000
001209,19980930,1998,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,7489.6000,2667.3000,423.2000,2274.3000,1319.6000,-279.9000,-684.3000,973.7000
001209,19990930,1999,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,8235.5000,2961.6000,880.6000,1961.6000,1266.4000,-51.6000,-1038.6000,1088.9000
001209,20000930,2000,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,8270.5000,2821.3000,429.2000,2615.8000,1427.2000,80.1000,-1227.6000,1174.0000
001209,20010930,2001,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,8084.1000,3105.8000,487.4000,2027.5000,1393.9000,-832.9000,-277.7000,1084.0000
001209,20020930,2002,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,8495.0000,3460.4000,368.7000,2041.0000,1342.9000,-385.0000,-493.6000,1063.9000
001209,20030930,2003,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,9431.9000,3782.5000,378.0000,2168.6000,1360.4000,-182.7000,-1046.6000,1036.0000
001209,20040930,2004,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,10040.4000,4444.0000,310.1000,2113.6000,1553.0000,-256.8000,-762.7000,1085.9000
001209,20050930,2005,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,10408.8000,4575.5000,499.8000,2052.9000,1683.9000,-492.7000,-973.4000,1375.8000
001209,20060930,2006,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,11180.7000,4924.0000,623.9000,2280.2000,1776.5000,-422.6000,-946.7000,1346.2000
001209,20070930,2007,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,12659.5000,5495.6000,700.7000,2976.5000,2178.8000,-14.9000,-1483.0000,1497.4000
001209,20080930,2008,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,12571.3000,5030.7000,451.4000,3515.4000,2359.5000,-698.5000,-919.8000,1679.6000
001209,20090930,2009,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,13029.1000,4791.9000,785.9000,3715.6000,1994.5000,101.5000,-1040.4000,1322.9000
001209,20100930,2010,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,13505.9000,5546.9000,468.5000,3659.8000,2306.4000,-579.7000,-1056.5000,1522.4000
001209,20110930,2011,INDL,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,14290.7000,5795.8000,634.7000,3927.5000,2501.9000,-484.5000,-1212.2000,1753.2000
