"","Year","name","MC.1000","sep"
"1",2011,"EGAS",64.0475498333333,0.0739937152689898
"2",2012,"EGAS",90.3061533333333,0.139163138738249
"3",2013,"EGAS",84.875515475,-0.139379698570181
"4",2014,"EGAS",91.7592225,-0.0906938415017658
"5",2015,"EGAS",113.85761,0.442748934495806
"6",2016,"EGAS",98.8211666666667,-0.282165270445762
"7",2017,"EGAS",91.9541016666667,0.740636606645356
"8",2010,"EGAS",133.867,0.0765885262393744
"9",2011,"BTFG",66.0132975,-0.0696870714396925
"10",2012,"BTFG",40.1118670333333,-0.535581071802503
"11",2013,"BTFG",43.8016011166667,1.24193909157905
"12",2010,"BTFG",51.74208,0.528168277615561
"13",2011,"AEPI",178.202624166667,-0.322099431016385
"14",2012,"AEPI",161.2473325,0.0847783787243788
"15",2013,"AEPI",256.478965,1.10408576883163
"16",2014,"AEPI",390.254778333333,-0.108052452034367
"17",2015,"AEPI",215.370976666667,0.10070004357993
"18",2016,"AEPI",305.750216666667,0.326743160699011
"19",2010,"AEPI",458.1573225,0.523607269936084
"20",2011,"JJSF",799.031035,0.219355130741946
"21",2012,"JJSF",921.1473925,0.115274609366267
"22",2013,"JJSF",1067.409807275,0.210375565724327
"23",2014,"JJSF",1469.23136333333,0.400294462778988
"24",2015,"JJSF",1795.08339,0.244405562294745
"25",2016,"JJSF",2072.65058333333,0.0867912090004315
"26",2017,"JJSF",2165.35989691917,0.158931382021662
"27",2018,"JJSF",2524.72954559,0.152123224393196
"28",2010,"JJSF",2714.24028309667,-0.0355468258246027
"29",2011,"DGSE",28.9642257,2.03546081694574
"30",2012,"DGSE",70.5526537666667,0.745328777060881
"31",2013,"DGSE",77.6847632,-0.534896777914355
"32",2014,"DGSE",44.7325946666667,-0.589318398097579
"33",2015,"DGSE",21.29635,-0.452914743779715
"34",2016,"DGSE",8.78163955,-0.729508615864085
"35",2017,"DGSE",9.21535955,2.75757647450662
"36",2018,"DGSE",31.5641776,-0.249193655679926
"37",2010,"DGSE",19.33920745,-0.506015114643979
"38",2011,"PLXS",1248.353388125,0.086377411930779
"39",2012,"PLXS",1118.68688666667,-0.115060152197742
"40",2013,"PLXS",1046.54937833333,-0.0577081666806386
"41",2014,"PLXS",1095.13313333333,0.677906734230692
"42",2015,"PLXS",1369.16973166667,-0.0480470335659536
"43",2016,"PLXS",1322.95299833333,-0.152632742935115
"44",2017,"PLXS",1474.3999025,0.547538117877435
"45",2018,"PLXS",1880.25033583333,0.123613353786924
"46",2010,"PLXS",1908.06898,-0.158760547610319
"47",2011,"RMCF",56.192594,0.244344541352563
"48",2012,"RMCF",57.9359645,-0.0767019800905239
"49",2013,"RMCF",64.6802172166667,0.287608549994143
"50",2014,"RMCF",76.0089033333333,0.137965726538458
"51",2015,"RMCF",76.1069234916667,0.17126402794217
"52",2016,"RMCF",74.68156,-0.149071904780424
"53",2017,"RMCF",60.209705,-0.00702230284810346
"54",2018,"RMCF",68.5342415166667,0.20520889892709
"55",2010,"RMCF",62.3650933083333,-0.242127613141883
"56",2011,"HGR",569.386376666667,0.532176577166165
"57",2012,"HGR",727.391814166667,-0.117981906638335
"58",2013,"HGR",837.338341666667,0.463883504311551
"59",2014,"HGR",1154.518665,0.437862234792382
"60",2015,"HGR",998.158639166667,-0.44331497580967
"61",2016,"HGR",701.643898333333,-0.248858656150263
"62",2018,"HGR",476.07559,-0.907497408159687
"63",2010,"HNGR",707.668126666667,-0.315017887949173
"64",2011,"ADX",869.959893208333,0.11638758324021
"65",2012,"ADX",942.5080525,-0.0428828486565914
"66",2013,"ADX",981.468810833333,0.168754781882461
"67",2014,"ADX",1126.9976235,0.318170662979852
"68",2015,"ADX",1267.87695833333,0.137722819107433
"69",2016,"ADX",1302.88208583333,0.0050938047922009
"70",2017,"ADX",1232.0521075,0.0704268717694521
"71",2018,"ADX",1429.18431583333,0.293926763108038
"72",2010,"ADX",1541.43316333333,-0.041213012681338
"73",2010,"KDE",15.27629024,-0.84530486007884
"74",2011,"ALRN",5.0084415,2.63013845648784
"75",2012,"ALRN",10.617253375,-0.24532061734594
"76",2013,"ALRN",4.7648765,-0.75063721011054
"77",2010,"ALRN",2.043276,-0.915124672304443
"78",2011,"ORCL",127135.058769375,0.286120741048057
"79",2012,"ORCL",159439.602879167,-0.174741495737001
"80",2013,"ORCL",147156.480150833,0.316634195844407
"81",2014,"ORCL",155809.472238333,0.156646937836829
"82",2015,"ORCL",180624.0005625,0.18982273515606
"83",2016,"ORCL",175648.236801667,-0.176314341309647
"84",2017,"ORCL",163225.4507875,0.0689202438982623
"85",2018,"ORCL",194285.784146667,0.248825052698619
"86",2010,"ORCL",189411.157865833,-0.0299520868652612
"87",2011,"MSFT",230240.583039792,-0.0645211680725177
"88",2012,"MSFT",219698.9141,-0.0452121775269811
"89",2013,"MSFT",249962.08727,0.0582887043475961
"90",2014,"MSFT",275229.0627975,0.441807280609506
"91",2015,"MSFT",355136.310875833,0.275250599262006
"92",2016,"MSFT",376441.11512,0.227506257119418
"93",2017,"MSFT",436107.077973333,0.150138763309148
"94",2018,"MSFT",563531.957645833,0.406943910308439
"95",2010,"MSFT",782863.789576667,0.207249188515009
"96",2011,"AADR",6.5613115,0.523087488665977
"97",2012,"AADR",7.95577291666667,-0.0508652509902403
"98",2013,"AADR",6.7909,0.0973370407950067
"99",2014,"AADR",7.80510604166667,0.2236106757718
"100",2015,"AADR",12.9342783333333,0.00423619850726364
"101",2016,"AADR",16.544379375,0.0373654320938928
"102",2017,"AADR",15.4182983333333,0.0489383794166471
"103",2018,"AADR",81.7597708333333,0.477451031280096
"104",2010,"AADR",206.970375,-0.315307244479088
"105",2011,"ACUR",150.321915833333,-0.378986510176431
"106",2012,"ACUR",166.592741666667,0.0543805610630621
"107",2013,"ACUR",114.468541666667,-0.363896348757787
"108",2014,"ACUR",90.5354075,-0.247748425849714
"109",2015,"ACUR",53.117421,-0.730538748721407
"110",2016,"ACUR",35.7919651916667,0.111110669330541
"111",2017,"ACUR",22.0095054666667,-0.693399548352595
"112",2010,"ACUR",6.3773426,-0.985413430904939
"113",2011,"AYE",3812.12555,0.0595568399873665
"114",2010,"AYE",4381.02742,1.09412132733269
"115",2011,"TROW",13474.2085420833,0.237143472167198
"116",2012,"TROW",15228.3856791667,-0.0982649862501906
"117",2013,"TROW",15882.3610060667,0.185679972180986
"118",2014,"TROW",19453.0190658333,0.312486521148499
"119",2015,"TROW",21362.0881783333,0.0469466632091975
"120",2016,"TROW",19784.8955,-0.12282689651255
"121",2017,"TROW",17697.5227066667,0.0847233458197898
"122",2018,"TROW",19781.6075591667,0.433345789231837
"123",2010,"TROW",26607.4836491667,-0.0966215821516072
"124",2010,"OSIP",2932.259236,3.36256252360064
"125",2011,"HON",34005.3280233333,0.395095427533558
"126",2012,"HON",42975.1642891667,0.0483499507053673
"127",2013,"HON",46327.6321125,0.198465640030373
"128",2014,"HON",62610.799795,0.470504814312392
"129",2015,"HON",73911.2942975,0.115106249934961
"130",2016,"HON",79311.4033983333,0.0584035587896077
"131",2017,"HON",85837.061025,0.149882905725127
"132",2018,"HON",103675.066764493,0.350359973793358
"133",2010,"HON",111888.629246462,-0.0841040170730472
"134",2011,"EMC",39676.9166716667,0.310819968619004
"135",2012,"EMC",51699.067875,-0.0593893864914322
"136",2013,"EMC",54925.23563,0.17456019891836
"137",2014,"EMC",50903.3045366667,0.00218625506749714
"138",2015,"EMC",56546.2193508333,0.20626861566088
"139",2016,"EMC",50950.3268166667,-0.120784643762817
"140",2010,"EMC",52699.1339425,0.21488737039435
"141",2011,"GRV",42.470575,0.0320338269046525
"142",2012,"AGLS",11.8642725,-0.172946169284308
"143",2013,"AGLS",19.5631933333333,0.0864075130072492
"144",2014,"AGLS",38.1507416666667,-0.00893658103236405
"145",2015,"AGLS",26.7975141666667,-0.100991294801988
"146",2010,"AGLS",13.1413214285714,-0.0497679248653334
"147",2011,"AMRC",294.450392,1.38325309141484
"148",2012,"AMRC",322.914650833333,-0.0445682308832386
"149",2013,"AMRC",311.305676666667,-0.284986216453086
"150",2014,"AMRC",245.408770833333,-0.0152907893513256
"151",2015,"AMRC",218.89228,-0.275361394878273
"152",2016,"AMRC",187.732168333333,-0.107142961429504
